CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Lat,Long,Lat_Lon,datetime,Zipcode
686243132,47,BRONX,1/19/2019,06:00:00,1/19/2019,06:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BRONX,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,1/19/2019,,UNKNOWN,UNKNOWN,U,,18-24,BLACK,F,1023120,262337,40.88665114,-73.859425,"(40.88665113600007, -73.85942499899994)",1/19/2019 00:00,10466
775860274,32,MANHATTAN,11/1/2018,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,,RAPE,,PATROL BORO MAN NORTH,153,RAPE 3,STREET,1/19/2019,,18-24,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,999358,236472,40.81573205,-73.94542041,"(40.81573205300003, -73.94542041099999)",11/1/2018 00:00,10030
714483599,44,BRONX,1/15/2019,18:55:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,118,FELONY,,DANGEROUS WEAPONS,,PATROL BORO BRONX,793,WEAPONS POSSESSION 3,STREET,1/15/2019,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,1006659,245559,40.84065776,-73.91901357,"(40.84065776400007, -73.91901357099994)",1/15/2019 00:00,10452
150656153,23,MANHATTAN,1/15/2019,16:00:00,,,ATTEMPTED,,,0,N.Y. POLICE DEPT,106,FELONY,,FELONY ASSAULT,,PATROL BORO MAN NORTH,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,1/15/2019,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,999321,229329,40.79612655,-73.94557011,"(40.796126551000036, -73.94557011499995)",1/15/2019 00:00,10029
690936001,47,BRONX,1/14/2019,22:20:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BRONX,725,"FORGERY,M.V. REGISTRATION",STREET,1/14/2019,,25-44,BLACK,F,,UNKNOWN,UNKNOWN,E,1023456,259785,40.87964521,-73.85822477,"(40.87964521400005, -73.85822476799996)",1/14/2019 00:00,10469
188075481,78,BROOKLYN,1/14/2019,13:30:00,1/14/2019,13:40:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO BKLYN SOUTH,723,"FORGERY,DRIVERS LICENSE",BANK,1/14/2019,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,D,987564,182309,40.66708041,-73.98805556,"(40.66708041300007, -73.98805555799999)",1/14/2019 00:00,11215
394175524,113,,1/13/2019,22:11:00,,,COMPLETED,,,,N.Y. POLICE DEPT,101,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,,,,,,1/13/2019,,,,,,25-44,BLACK,M,1051144,193463,40.69744341,-73.75876034,"(40.697443411000044, -73.75876034299995)",1/13/2019 00:00,11412
526881311,73,BROOKLYN,1/13/2019,17:05:00,1/13/2019,17:10:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BKLYN NORTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,1/13/2019,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,1008992,186404,40.67828632,-73.91079963,"(40.67828631700007, -73.91079962899995)",1/13/2019 00:00,11233
541443832,94,BROOKLYN,1/11/2019,02:30:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BKLYN NORTH,397,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,1/13/2019,,UNKNOWN,BLACK,M,,18-24,WHITE,M,999489,201023,40.71843352,-73.94502751,"(40.718433522000055, -73.94502751)",1/11/2019 00:00,11211
236257580,71,BROOKLYN,1/12/2019,18:50:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BKLYN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,1/12/2019,,45-64,BLACK,F,,UNKNOWN,UNKNOWN,E,997071,181380,40.66452185,-73.9537877,"(40.664521853000046, -73.95378770499997)",1/12/2019 00:00,11225
292769508,52,BRONX,1/11/2019,17:11:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BRONX,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,1/11/2019,,25-44,BLACK HISPANIC,M,,UNKNOWN,UNKNOWN,E,1010565,252137,40.85870165,-73.90487117,"(40.85870164700003, -73.90487117499998)",1/11/2019 00:00,10453
165877213,73,BROOKLYN,1/10/2019,11:20:00,1/10/2019,11:33:00,COMPLETED,,,0,N.Y. POLICE DEPT,126,FELONY,,MISCELLANEOUS PENAL LAW,,PATROL BORO BKLYN NORTH,760,"BRIBERY,PUBLIC ADMINISTRATION",STREET,1/10/2019,,25-44,BLACK,F,,UNKNOWN,UNKNOWN,E,1009519,180676,40.66256275,-73.90892112,"(40.66256275400008, -73.90892111899994)",1/10/2019 00:00,11224
800335573,43,BRONX,1/9/2019,18:30:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,121,FELONY,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,1/9/2019,,25-44,BLACK,U,,45-64,BLACK,M,1020126,239601,40.82426034,-73.8703747,"(40.82426034100007, -73.87037469799998)",1/9/2019 00:00,10473
364395787,52,BRONX,1/9/2019,17:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",HOSPITAL,1/9/2019,,,,,,25-44,WHITE HISPANIC,F,1017326,259857,40.87986793,-73.88039168,"(40.87986793400006, -73.88039168099994)",1/9/2019 00:00,10467
243796877,40,BRONX,1/8/2019,18:20:00,1/8/2019,18:27:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,,ROBBERY,,PATROL BORO BRONX,397,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,1/8/2019,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,M,1006098,232576,40.80502452,-73.92108334,"(40.805024520000075, -73.92108333899995)",1/8/2019 00:00,10454
807378843,44,BRONX,1/8/2019,01:50:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BRONX,397,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,1/8/2019,,UNKNOWN,UNKNOWN,U,,25-44,BLACK HISPANIC,M,1007174,243527,40.83507919,-73.91715927,"(40.83507919300007, -73.91715926599994)",1/8/2019 00:00,10452
172857435,113,QUEENS,1/7/2019,18:30:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO QUEENS SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,1/7/2019,,,,,,UNKNOWN,UNKNOWN,E,1051488,182176,40.66646067,-73.7576324,"(40.66646066900006, -73.75763239699995)",1/7/2019 00:00,11413
491465483,52,BRONX,1/7/2019,16:48:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,117,FELONY,,DANGEROUS DRUGS,,PATROL BORO BRONX,503,"CONTROLLED SUBSTANCE,INTENT TO",STREET,1/7/2019,,,,,,UNKNOWN,UNKNOWN,E,1009302,252729,40.86033018,-73.90943478,"(40.86033018200004, -73.90943477799993)",1/7/2019 00:00,10453
